37, 35, 0 
37, 35, 0 
38, 35, 0 
38, 35, 0 
39, 35, 0 
40, 35, 0 
40, 35, 0 
41, 35, 0 
41, 35, 0 
42, 35, 0 
42, 35, 0 
43, 36, 0 
43, 36, 0 
44, 36, 0 
44, 36, 0 
45, 36, 0 
46, 36, 0 
46, 37, 0 
47, 37, 0 
47, 37, 0 
48, 38, 0 
48, 38, 0 
49, 39, 0 
49, 39, 0 
50, 40, 0 
50, 40, 0 
51, 41, 0 
52, 41, 0 
52, 42, 0 
53, 43, 0 
53, 44, 0 
54, 45, 0 
54, 46, 0 
55, 47, 0 
55, 48, 0 
56, 49, 0 
56, 50, 0 
57, 51, 0 
57, 52, 0 
58, 54, 0 
59, 55, 0 
59, 56, 0 
60, 58, 0 
60, 59, 0 
61, 60, 0 
61, 62, 0 
62, 63, 0 
62, 64, 1 
63, 66, 1 
63, 67, 1 
64, 68, 1 
65, 68, 1 
65, 69, 1 
66, 70, 1 
66, 70, 1 
67, 71, 1 
67, 72, 1 
68, 72, 1 
68, 72, 1 
69, 73, 1 
69, 73, 1 
70, 74, 1 
71, 74, 1 
71, 75, 1 
72, 75, 1 
72, 75, 1 
73, 76, 1 
73, 76, 1 
74, 76, 1 
74, 77, 1 
75, 77, 1 
75, 77, 1 
76, 78, 1 
77, 78, 1 
77, 78, 1 
78, 79, 1 
78, 79, 0 
79, 79, 0 
79, 79, 0 
80, 79, 0 
80, 80, 0 
81, 80, 0 
81, 80, 0 
82, 81, 0 
83, 81, 0 
83, 82, 0 
84, 83, 0 
84, 83, 0 
85, 84, 0 
85, 84, 0 
86, 85, 0 
86, 85, 0 
87, 86, 0 
87, 87, 0 
88, 87, 0 
89, 88, 0 
89, 88, 0 
90, 89, 0 
90, 90, 0 
91, 90, 0 
91, 91, 0 
92, 91, 0 
92, 92, 0 
93, 92, 0 
93, 93, 0 
94, 94, 0 
95, 94, 0 
95, 95, 0 
96, 95, 0 
96, 96, 0 
97, 96, 0 
97, 97, 0 
98, 97, 0 
98, 97, 0 
99, 98, 0 
99, 98, 0 
100, 99, 0 
101, 99, 0 
101, 100, 0 
102, 100, 0 
102, 101, 0 
103, 101, 0 
103, 102, 0 
104, 102, 0 
104, 103, 0 
105, 103, 0 
106, 103, 0 
106, 104, 0 
107, 104, 0 
107, 105, 0 
108, 105, 0 
108, 106, 0 
109, 106, 0 
109, 107, 0 
110, 107, 0 
111, 108, 0 
111, 109, 0 
112, 109, 0 
112, 109, 0 
113, 110, 0 
113, 110, 0 
114, 111, 0 
114, 112, 0 
